Train_ID,Route,Source,Destination,Date,Departure_Time,Passenger_Count,Seat_Capacity,Occupancy_Rate,Number_of_Coaches,Platform_Number,Delay_Minutes,Weekend,Holiday,Peak_Hour
TR781,R6,Ahmedabad,Mumbai,2024-01-03,15:00,1174,936,125.44,13,4,16,0,1,1
TR741,R7,Lucknow,Delhi,2024-01-03,9:00,538,936,57.56,13,5,39,0,0,0
TR935,R8,Bangalore,Chennai,2024-01-03,23:00,541,1080,50.12,15,1,5,0,0,0
TR273,R9,Patna,Kolkata,2024-01-03,21:00,694,1080,64.29,15,4,3,0,0,1
TR270,R10,Nagpur,Mumbai,2024-01-03,8:00,774,792,97.77,11,5,17,0,0,1
TR363,R1,Hyderabad,Bangalore,2024-01-04,9:30,575,792,72.71,11,3,33,0,0,0
TR777,R2,Mumbai,Delhi,2024-01-04,14:30,1003,1224,81.99,17,2,30,0,0,0
TR246,R3,Chennai,Kolkata,2024-01-04,22:30,1085,1080,100.5,15,4,7,0,1,0
TR833,R4,Delhi,Jaipur,2024-01-04,10:30,607,720,84.43,10,2,59,0,0,0
TR968,R5,Pune,Hyderabad,2024-01-04,16:00,736,1008,73.04,14,4,39,0,0,0
TR240,R6,Ahmedabad,Mumbai,2024-01-04,12:00,628,792,79.32,11,4,44,0,0,0
TR483,R7,Lucknow,Delhi,2024-01-04,17:30,827,1224,67.59,17,2,52,0,0,0
TR604,R8,Bangalore,Chennai,2024-01-04,16:00,935,936,99.95,13,3,59,0,0,1
TR128,R9,Patna,Kolkata,2024-01-04,8:30,964,720,133.89,10,2,44,0,0,1
TR625,R10,Nagpur,Mumbai,2024-01-04,14:30,583,1008,57.92,14,1,14,0,0,0
TR111,R1,Hyderabad,Bangalore,2024-01-05,9:30,754,1152,65.45,16,5,24,0,0,1
TR976,R2,Mumbai,Delhi,2024-01-05,15:30,612,720,85.0,10,2,23,0,0,0
TR756,R3,Chennai,Kolkata,2024-01-05,15:30,802,1152,69.66,16,5,23,0,0,1
TR365,R4,Delhi,Jaipur,2024-01-05,20:30,532,720,73.98,10,3,50,0,0,0
TR358,R5,Pune,Hyderabad,2024-01-05,6:30,1235,864,143.05,12,3,34,0,0,1
TR787,R6,Ahmedabad,Mumbai,2024-01-05,11:30,890,1008,88.3,14,2,58,0,0,1
TR221,R7,Lucknow,Delhi,2024-01-05,15:30,680,720,94.5,10,3,57,0,0,0
TR675,R8,Bangalore,Chennai,2024-01-05,7:00,720,720,100.08,10,2,6,0,0,1
TR780,R9,Patna,Kolkata,2024-01-05,5:00,999,792,126.22,11,5,11,0,0,1
TR701,R10,Nagpur,Mumbai,2024-01-05,13:30,408,1152,35.44,16,5,47,0,0,0
TR557,R1,Hyderabad,Bangalore,2024-01-06,18:00,898,1008,89.18,14,2,23,1,0,1
TR686,R2,Mumbai,Delhi,2024-01-06,18:00,806,1224,65.91,17,4,43,1,0,0
TR388,R3,Chennai,Kolkata,2024-01-06,14:30,882,864,102.17,12,4,26,1,0,0
TR463,R4,Delhi,Jaipur,2024-01-06,15:30,1032,1152,89.66,16,1,36,1,0,1
TR191,R5,Pune,Hyderabad,2024-01-06,12:30,795,1008,78.87,14,4,0,1,0,0
TR459,R6,Ahmedabad,Mumbai,2024-01-06,6:30,957,1152,83.15,16,3,54,1,0,1
TR998,R7,Lucknow,Delhi,2024-01-06,10:30,1147,864,132.83,12,3,38,1,0,0
TR948,R8,Bangalore,Chennai,2024-01-06,17:00,1603,1152,139.22,16,3,14,1,0,1
TR498,R9,Patna,Kolkata,2024-01-06,14:30,885,936,94.56,13,4,41,1,0,0
TR889,R10,Nagpur,Mumbai,2024-01-06,18:00,728,1152,63.22,16,3,31,1,0,0
TR245,R1,Hyderabad,Bangalore,2024-01-07,18:00,898,1008,89.14,14,5,51,1,0,0
TR338,R2,Mumbai,Delhi,2024-01-07,11:00,891,1080,82.5,15,1,3,1,0,0
TR947,R3,Chennai,Kolkata,2024-01-07,5:00,816,1152,70.87,16,3,44,1,0,0
TR416,R4,Delhi,Jaipur,2024-01-07,20:30,752,936,80.38,13,1,28,1,0,0
TR958,R5,Pune,Hyderabad,2024-01-07,8:30,772,1152,67.06,16,3,31,1,0,1
TR644,R6,Ahmedabad,Mumbai,2024-01-07,8:30,909,1080,84.24,15,1,50,1,0,1
TR186,R7,Lucknow,Delhi,2024-01-07,13:30,1229,792,155.23,11,5,1,1,0,1
TR609,R8,Bangalore,Chennai,2024-01-07,12:00,647,1008,64.22,14,4,56,1,0,0
TR663,R9,Patna,Kolkata,2024-01-07,9:30,703,936,75.17,13,4,27,1,0,0
TR975,R10,Nagpur,Mumbai,2024-01-07,12:30,718,936,76.78,13,4,43,1,0,1
TR575,R1,Hyderabad,Bangalore,2024-01-08,19:00,890,1224,72.75,17,5,10,0,0,0
TR463,R2,Mumbai,Delhi,2024-01-08,19:30,1890,1152,164.14,16,3,24,0,1,1
TR686,R3,Chennai,Kolkata,2024-01-08,18:30,883,720,122.71,10,3,32,0,0,1
TR111,R4,Delhi,Jaipur,2024-01-08,7:30,853,1080,79.04,15,3,26,0,0,0
TR999,R5,Pune,Hyderabad,2024-01-08,21:30,585,1008,58.04,14,2,51,0,0,0
TR755,R6,Ahmedabad,Mumbai,2024-01-08,23:00,908,1152,78.86,16,5,2,0,0,1
TR665,R7,Lucknow,Delhi,2024-01-08,22:30,716,864,82.92,12,5,7,0,0,0
TR427,R8,Bangalore,Chennai,2024-01-08,15:30,904,720,125.63,10,3,36,0,0,1
TR128,R9,Patna,Kolkata,2024-01-08,12:30,873,936,93.34,13,4,41,0,0,1
TR102,R10,Nagpur,Mumbai,2024-01-08,10:30,578,864,66.96,12,1,14,0,0,0
TR288,R1,Hyderabad,Bangalore,2024-01-09,6:30,1004,1224,82.1,17,2,31,0,0,0
TR667,R2,Mumbai,Delhi,2024-01-09,22:30,1066,720,148.12,10,3,51,0,0,1
TR536,R3,Chennai,Kolkata,2024-01-09,8:00,774,792,97.77,11,1,48,0,0,0
TR772,R4,Delhi,Jaipur,2024-01-09,8:30,496,1080,45.94,15,3,11,0,0,0
TR663,R5,Pune,Hyderabad,2024-01-09,21:30,867,864,100.41,12,5,1,0,0,0
TR940,R6,Ahmedabad,Mumbai,2024-01-09,22:00,736,720,102.22,10,5,36,0,0,1
TR127,R7,Lucknow,Delhi,2024-01-09,17:30,518,720,72.0,10,5,58,0,0,0
TR702,R8,Bangalore,Chennai,2024-01-09,18:30,541,936,57.84,13,2,1,0,0,0
TR240,R9,Patna,Kolkata,2024-01-09,18:00,498,1008,49.43,14,1,22,0,0,0
TR410,R10,Nagpur,Mumbai,2024-01-09,5:30,654,720,90.85,10,3,32,0,0,0
TR212,R1,Hyderabad,Bangalore,2024-01-10,20:00,853,1008,84.64,14,2,1,0,0,1
TR977,R2,Mumbai,Delhi,2024-01-10,5:00,856,1224,69.98,17,1,25,0,0,0
TR180,R3,Chennai,Kolkata,2024-01-10,7:00,716,1152,62.19,16,2,31,0,0,0
TR411,R4,Delhi,Jaipur,2024-01-10,15:30,715,864,82.84,12,3,54,0,0,0
TR321,R5,Pune,Hyderabad,2024-01-10,21:00,655,720,91.09,10,3,58,0,0,0
TR736,R6,Ahmedabad,Mumbai,2024-01-10,8:00,752,1224,61.45,17,3,37,0,0,0
TR784,R7,Lucknow,Delhi,2024-01-10,5:30,977,792,123.41,11,3,51,0,0,1
TR501,R8,Bangalore,Chennai,2024-01-10,12:30,805,864,93.28,12,3,21,0,0,0
TR294,R9,Patna,Kolkata,2024-01-10,19:30,702,720,97.63,10,5,15,0,0,0
TR179,R10,Nagpur,Mumbai,2024-01-10,7:00,708,864,82.03,12,3,59,0,0,1
TR537,R1,Hyderabad,Bangalore,2024-01-11,23:00,942,1008,93.5,14,4,15,0,0,0
TR508,R2,Mumbai,Delhi,2024-01-11,20:30,1233,936,131.81,13,1,19,0,0,1
TR630,R3,Chennai,Kolkata,2024-01-11,6:00,894,1152,77.6,16,1,2,0,0,0
TR766,R4,Delhi,Jaipur,2024-01-11,11:30,600,1224,49.07,17,5,19,0,0,0
TR289,R5,Pune,Hyderabad,2024-01-11,19:00,840,720,116.8,10,3,51,0,0,1
TR852,R6,Ahmedabad,Mumbai,2024-01-11,22:30,606,792,76.52,11,2,38,0,0,0
TR363,R7,Lucknow,Delhi,2024-01-11,16:00,1138,864,131.77,12,3,0,0,0,1
TR169,R8,Bangalore,Chennai,2024-01-11,8:30,742,1080,68.75,15,3,30,0,0,0
TR564,R9,Patna,Kolkata,2024-01-11,11:00,958,1152,83.19,16,4,34,0,0,1
TR773,R10,Nagpur,Mumbai,2024-01-11,7:00,683,792,86.31,11,4,15,0,0,0
TR468,R1,Hyderabad,Bangalore,2024-01-12,22:00,597,936,63.88,13,2,56,0,0,0
TR243,R2,Mumbai,Delhi,2024-01-12,10:30,619,792,78.24,11,1,48,0,0,0
TR899,R3,Chennai,Kolkata,2024-01-12,17:00,846,1080,78.4,15,4,47,0,0,0
TR345,R4,Delhi,Jaipur,2024-01-12,7:30,592,1008,58.82,14,5,4,0,0,0
TR792,R5,Pune,Hyderabad,2024-01-12,17:00,628,1152,54.59,16,2,58,0,0,0
TR727,R6,Ahmedabad,Mumbai,2024-01-12,19:30,586,864,67.88,12,3,40,0,0,1
TR318,R7,Lucknow,Delhi,2024-01-12,23:00,796,1224,65.04,17,4,47,0,1,0
TR268,R8,Bangalore,Chennai,2024-01-12,22:00,715,1224,58.46,17,5,19,0,0,0
TR453,R9,Patna,Kolkata,2024-01-12,12:30,560,720,77.86,10,4,55,0,0,1
TR223,R10,Nagpur,Mumbai,2024-01-12,19:00,540,720,75.1,10,3,10,0,0,0
TR202,R1,Hyderabad,Bangalore,2024-01-13,22:00,980,1080,90.82,15,4,19,1,0,1
TR256,R2,Mumbai,Delhi,2024-01-13,11:00,1267,1080,117.37,15,4,47,1,0,1
TR962,R3,Chennai,Kolkata,2024-01-13,18:00,896,1008,88.93,14,3,24,1,0,1
TR952,R4,Delhi,Jaipur,2024-01-13,18:00,930,792,117.45,11,3,45,1,0,0
TR293,R5,Pune,Hyderabad,2024-01-13,14:00,800,864,92.66,12,3,53,1,0,0
TR811,R6,Ahmedabad,Mumbai,2024-01-13,12:00,837,936,89.49,13,3,40,1,0,0
TR138,R7,Lucknow,Delhi,2024-01-13,22:00,806,720,112.0,10,4,3,1,0,0
TR696,R8,Bangalore,Chennai,2024-01-13,11:00,1613,1224,131.86,17,3,20,1,0,1
TR131,R9,Patna,Kolkata,2024-01-13,19:30,1033,1152,89.72,16,1,7,1,0,0
TR996,R10,Nagpur,Mumbai,2024-01-13,22:30,935,1224,76.43,17,5,16,1,0,1
TR133,R1,Hyderabad,Bangalore,2024-01-14,6:30,758,936,81.0,13,5,47,1,0,1
TR268,R2,Mumbai,Delhi,2024-01-14,11:00,1386,1152,120.31,16,1,21,1,0,0
TR109,R3,Chennai,Kolkata,2024-01-14,15:30,736,1080,68.2,15,4,45,1,1,0
TR618,R4,Delhi,Jaipur,2024-01-14,21:00,576,1008,57.23,14,1,37,1,0,0
TR474,R5,Pune,Hyderabad,2024-01-14,16:00,607,1224,49.63,17,5,53,1,0,0
TR850,R6,Ahmedabad,Mumbai,2024-01-14,10:00,941,792,118.83,11,4,26,1,0,0
TR573,R7,Lucknow,Delhi,2024-01-14,22:00,973,720,135.2,10,1,29,1,0,0
TR296,R8,Bangalore,Chennai,2024-01-14,21:30,1244,1224,101.7,17,2,46,1,0,1
TR346,R9,Patna,Kolkata,2024-01-14,7:30,850,864,98.45,12,1,47,1,0,0
TR966,R10,Nagpur,Mumbai,2024-01-14,12:30,507,1224,41.49,17,5,34,1,0,0
TR741,R1,Hyderabad,Bangalore,2024-01-15,11:00,582,936,62.22,13,1,16,0,0,0
TR732,R2,Mumbai,Delhi,2024-01-15,7:30,928,1008,92.11,14,1,29,0,0,0
TR734,R3,Chennai,Kolkata,2024-01-15,18:00,480,1080,44.5,15,1,52,0,0,0
TR888,R4,Delhi,Jaipur,2024-01-15,23:30,616,720,85.59,10,5,59,0,0,1
TR691,R5,Pune,Hyderabad,2024-01-15,22:30,545,1008,54.07,14,4,23,0,0,0
TR831,R6,Ahmedabad,Mumbai,2024-01-15,18:00,725,1152,62.98,16,3,52,0,0,0
TR187,R7,Lucknow,Delhi,2024-01-15,7:00,537,720,74.7,10,2,59,0,0,0
TR843,R8,Bangalore,Chennai,2024-01-15,8:00,695,1224,56.8,17,4,20,0,0,0
TR888,R9,Patna,Kolkata,2024-01-15,16:30,616,1224,50.33,17,1,2,0,0,0
TR351,R10,Nagpur,Mumbai,2024-01-15,17:00,547,792,69.11,11,2,24,0,0,1
TR526,R1,Hyderabad,Bangalore,2024-01-16,10:30,909,792,114.86,11,1,53,0,0,1
TR619,R2,Mumbai,Delhi,2024-01-16,7:00,1353,1080,125.35,15,2,39,0,0,1
TR854,R3,Chennai,Kolkata,2024-01-16,12:30,733,1224,59.91,17,3,49,0,0,0
TR923,R4,Delhi,Jaipur,2024-01-16,16:30,815,792,102.92,11,4,22,0,0,0
TR317,R5,Pune,Hyderabad,2024-01-16,15:00,821,792,103.77,11,4,26,0,0,1
TR153,R6,Ahmedabad,Mumbai,2024-01-16,5:30,902,720,125.38,10,4,25,0,0,0
TR350,R7,Lucknow,Delhi,2024-01-16,6:30,603,720,83.83,10,5,32,0,0,0
TR582,R8,Bangalore,Chennai,2024-01-16,19:30,1144,1224,93.54,17,2,53,0,1,0
TR735,R9,Patna,Kolkata,2024-01-16,15:00,602,792,76.04,11,2,28,0,0,1
TR263,R10,Nagpur,Mumbai,2024-01-16,14:00,847,864,98.13,12,4,25,0,0,1
TR306,R1,Hyderabad,Bangalore,2024-01-17,13:30,1145,1224,93.6,17,3,24,0,0,1
TR549,R2,Mumbai,Delhi,2024-01-17,20:30,695,792,87.78,11,5,59,0,0,1
TR545,R3,Chennai,Kolkata,2024-01-17,7:00,1066,936,113.94,13,1,56,0,0,1
TR574,R4,Delhi,Jaipur,2024-01-17,9:00,786,720,109.24,10,4,19,0,0,1
TR671,R5,Pune,Hyderabad,2024-01-17,9:30,745,1224,60.94,17,3,45,0,0,0
TR849,R6,Ahmedabad,Mumbai,2024-01-17,10:30,622,864,72.01,12,4,11,0,0,0
TR212,R7,Lucknow,Delhi,2024-01-17,5:30,813,792,102.65,11,3,27,0,0,1
TR212,R8,Bangalore,Chennai,2024-01-17,5:30,973,1152,84.49,16,5,31,0,0,0
TR761,R9,Patna,Kolkata,2024-01-17,13:00,733,720,101.89,10,3,50,0,0,0
TR456,R10,Nagpur,Mumbai,2024-01-17,13:00,614,792,77.56,11,4,21,0,0,0
TR328,R1,Hyderabad,Bangalore,2024-01-18,5:30,742,720,103.14,10,2,21,0,0,1
TR138,R2,Mumbai,Delhi,2024-01-18,18:30,781,1080,72.38,15,5,41,0,0,0
TR314,R3,Chennai,Kolkata,2024-01-18,22:30,723,864,83.75,12,5,53,0,0,0
TR792,R4,Delhi,Jaipur,2024-01-18,16:00,687,1224,56.17,17,2,32,0,0,1
TR505,R5,Pune,Hyderabad,2024-01-18,12:30,508,936,54.33,13,2,59,0,0,0
TR348,R6,Ahmedabad,Mumbai,2024-01-18,7:00,583,1152,50.61,16,4,4,0,0,0
TR155,R7,Lucknow,Delhi,2024-01-18,18:30,714,1008,70.83,14,2,5,0,0,0
TR647,R8,Bangalore,Chennai,2024-01-18,10:00,1301,1152,112.94,16,2,29,0,0,1
TR405,R9,Patna,Kolkata,2024-01-18,17:00,746,1224,60.99,17,4,54,0,0,0
TR719,R10,Nagpur,Mumbai,2024-01-18,16:00,927,1008,92.06,14,5,15,0,0,1
TR912,R1,Hyderabad,Bangalore,2024-01-19,22:30,899,792,113.6,11,4,59,0,0,0
TR541,R2,Mumbai,Delhi,2024-01-19,6:30,1044,720,145.05,10,1,18,0,0,1
TR479,R3,Chennai,Kolkata,2024-01-19,14:00,778,936,83.17,13,3,18,0,0,1
TR854,R4,Delhi,Jaipur,2024-01-19,10:30,452,792,57.12,11,2,54,0,0,0
TR760,R5,Pune,Hyderabad,2024-01-19,8:30,1324,1008,131.42,14,2,25,0,1,1
TR233,R6,Ahmedabad,Mumbai,2024-01-19,16:00,824,1152,71.58,16,1,22,0,0,0
TR372,R7,Lucknow,Delhi,2024-01-19,21:30,1188,1008,117.86,14,2,11,0,0,1
TR492,R8,Bangalore,Chennai,2024-01-19,19:30,801,792,101.25,11,2,57,0,0,1
TR483,R9,Patna,Kolkata,2024-01-19,16:00,495,792,62.5,11,5,46,0,0,1
TR508,R10,Nagpur,Mumbai,2024-01-19,14:00,584,1224,47.77,17,5,53,0,0,1
TR251,R1,Hyderabad,Bangalore,2024-01-20,6:30,951,1008,94.4,14,3,39,1,0,1
TR482,R2,Mumbai,Delhi,2024-01-20,14:30,1737,1224,141.91,17,2,0,1,0,1
TR512,R3,Chennai,Kolkata,2024-01-20,9:00,1143,1224,93.39,17,3,38,1,1,0
TR113,R4,Delhi,Jaipur,2024-01-20,12:00,617,1008,61.29,14,2,21,1,0,0
TR388,R5,Pune,Hyderabad,2024-01-20,15:00,968,936,103.53,13,3,2,1,0,0
TR901,R6,Ahmedabad,Mumbai,2024-01-20,20:00,763,864,88.33,12,5,15,1,0,0
TR163,R7,Lucknow,Delhi,2024-01-20,22:30,628,1008,62.36,14,3,56,1,0,0
TR588,R8,Bangalore,Chennai,2024-01-20,18:30,1002,1152,87.05,16,2,4,1,0,0
TR630,R9,Patna,Kolkata,2024-01-20,9:30,585,1080,54.23,15,3,45,1,0,0
TR640,R10,Nagpur,Mumbai,2024-01-20,20:30,759,792,95.93,11,4,15,1,0,0
TR681,R1,Hyderabad,Bangalore,2024-01-21,21:30,1558,936,166.5,13,1,38,1,1,0
TR776,R2,Mumbai,Delhi,2024-01-21,7:30,1238,1008,122.86,14,1,29,1,0,0
TR503,R3,Chennai,Kolkata,2024-01-21,8:00,683,792,86.32,11,2,57,1,0,1
TR721,R4,Delhi,Jaipur,2024-01-21,10:30,851,936,90.96,13,5,4,1,0,0
TR787,R5,Pune,Hyderabad,2024-01-21,6:00,930,1152,80.74,16,5,51,1,0,0
TR445,R6,Ahmedabad,Mumbai,2024-01-21,23:30,1231,864,142.49,12,1,57,1,0,1
TR615,R7,Lucknow,Delhi,2024-01-21,14:00,891,1224,72.79,17,2,0,1,0,1
TR195,R8,Bangalore,Chennai,2024-01-21,16:00,1055,936,112.78,13,2,44,1,0,0
TR265,R9,Patna,Kolkata,2024-01-21,8:30,547,1224,44.75,17,5,23,1,0,0
TR115,R10,Nagpur,Mumbai,2024-01-21,19:00,813,720,113.05,10,5,1,1,0,0
TR276,R1,Hyderabad,Bangalore,2024-01-22,21:30,1017,864,117.81,12,4,31,0,0,0
TR855,R2,Mumbai,Delhi,2024-01-22,6:00,1108,936,118.43,13,4,23,0,0,0
TR578,R3,Chennai,Kolkata,2024-01-22,21:00,934,936,99.87,13,5,34,0,1,0
TR664,R4,Delhi,Jaipur,2024-01-22,8:30,475,1008,47.14,14,1,32,0,0,0
TR293,R5,Pune,Hyderabad,2024-01-22,8:00,650,1008,64.51,14,4,42,0,0,0
TR468,R6,Ahmedabad,Mumbai,2024-01-22,18:30,767,720,106.53,10,2,2,0,0,0
TR662,R7,Lucknow,Delhi,2024-01-22,8:00,680,864,78.75,12,5,9,0,0,0
TR180,R8,Bangalore,Chennai,2024-01-22,21:00,598,1008,59.33,14,5,28,0,0,0
TR366,R9,Patna,Kolkata,2024-01-22,20:00,610,1080,56.51,15,3,30,0,1,0
TR862,R10,Nagpur,Mumbai,2024-01-22,15:00,741,792,93.66,11,1,50,0,0,0
TR682,R1,Hyderabad,Bangalore,2024-01-23,12:30,564,720,78.36,10,2,22,0,0,0
TR759,R2,Mumbai,Delhi,2024-01-23,20:00,1237,1008,122.8,14,3,7,0,1,1
TR453,R3,Chennai,Kolkata,2024-01-23,8:00,733,864,84.9,12,1,33,0,0,1
TR743,R4,Delhi,Jaipur,2024-01-23,18:00,693,936,74.04,13,4,6,0,0,1
TR378,R5,Pune,Hyderabad,2024-01-23,20:30,802,792,101.28,11,5,52,0,0,0
TR884,R6,Ahmedabad,Mumbai,2024-01-23,16:30,545,1224,44.53,17,3,28,0,0,0
TR881,R7,Lucknow,Delhi,2024-01-23,19:00,924,1008,91.67,14,5,20,0,0,1
TR477,R8,Bangalore,Chennai,2024-01-23,8:30,1093,792,138.07,11,2,35,0,0,1
TR909,R9,Patna,Kolkata,2024-01-23,9:30,1039,1224,84.93,17,3,8,0,0,1
TR312,R10,Nagpur,Mumbai,2024-01-23,15:30,620,720,86.19,10,2,34,0,0,0
TR202,R1,Hyderabad,Bangalore,2024-01-24,17:30,582,936,62.25,13,2,47,0,0,0
TR850,R2,Mumbai,Delhi,2024-01-24,6:30,742,1152,64.45,16,3,23,0,0,0
TR614,R3,Chennai,Kolkata,2024-01-24,22:30,706,1008,70.12,14,1,31,0,0,0
TR565,R4,Delhi,Jaipur,2024-01-24,22:00,660,1152,57.32,16,3,48,0,0,0
TR816,R5,Pune,Hyderabad,2024-01-24,5:30,643,720,89.41,10,2,22,0,0,1
TR414,R6,Ahmedabad,Mumbai,2024-01-24,19:00,867,1080,80.29,15,5,40,0,0,0
TR409,R7,Lucknow,Delhi,2024-01-24,22:00,725,1080,67.2,15,4,48,0,0,0
TR656,R8,Bangalore,Chennai,2024-01-24,6:00,586,720,81.51,10,2,47,0,0,0
TR430,R9,Patna,Kolkata,2024-01-24,23:30,1375,864,159.2,12,1,12,0,1,1
TR406,R10,Nagpur,Mumbai,2024-01-24,11:00,395,936,42.2,13,1,48,0,0,0
TR178,R1,Hyderabad,Bangalore,2024-01-25,16:00,1033,864,119.62,12,4,40,0,0,0
TR877,R2,Mumbai,Delhi,2024-01-25,21:30,712,1152,61.85,16,4,8,0,0,0
TR937,R3,Chennai,Kolkata,2024-01-25,16:00,819,1152,71.15,16,5,13,0,0,0
TR901,R4,Delhi,Jaipur,2024-01-25,15:00,775,864,89.72,12,3,51,0,0,0
TR104,R5,Pune,Hyderabad,2024-01-25,18:00,1292,1008,128.24,14,3,15,0,1,0
TR816,R6,Ahmedabad,Mumbai,2024-01-25,13:30,672,936,71.88,13,4,34,0,0,1
TR631,R7,Lucknow,Delhi,2024-01-25,12:30,457,864,53.0,12,1,51,0,0,0
TR636,R8,Bangalore,Chennai,2024-01-25,23:00,610,1224,49.85,17,1,22,0,0,0
TR781,R9,Patna,Kolkata,2024-01-25,22:00,627,1008,62.2,14,5,38,0,0,1
TR530,R10,Nagpur,Mumbai,2024-01-25,21:00,924,792,116.78,11,1,41,0,1,1
TR675,R1,Hyderabad,Bangalore,2024-01-26,20:30,1295,792,163.53,11,3,30,0,0,1
TR635,R2,Mumbai,Delhi,2024-01-26,16:00,798,1152,69.27,16,2,34,0,0,0
TR512,R3,Chennai,Kolkata,2024-01-26,20:00,669,864,77.5,12,2,42,0,0,0
TR387,R4,Delhi,Jaipur,2024-01-26,16:00,539,936,57.64,13,4,46,0,0,0
TR522,R5,Pune,Hyderabad,2024-01-26,8:00,510,792,64.39,11,3,9,0,0,0
TR195,R6,Ahmedabad,Mumbai,2024-01-26,10:00,749,1152,65.09,16,2,37,0,0,0
TR354,R7,Lucknow,Delhi,2024-01-26,13:00,687,1224,56.18,17,3,12,0,0,0
TR395,R8,Bangalore,Chennai,2024-01-26,21:30,768,792,96.99,11,1,8,0,0,0
TR707,R9,Patna,Kolkata,2024-01-26,8:30,675,792,85.25,11,1,57,0,0,0
TR860,R10,Nagpur,Mumbai,2024-01-26,12:30,424,1008,42.08,14,1,28,0,0,0
TR423,R1,Hyderabad,Bangalore,2024-01-27,15:30,1151,1224,94.06,17,5,7,1,0,0
TR855,R2,Mumbai,Delhi,2024-01-27,13:30,1375,1080,127.33,15,2,0,1,0,0
TR669,R3,Chennai,Kolkata,2024-01-27,22:00,783,720,108.8,10,5,6,1,0,0
TR511,R4,Delhi,Jaipur,2024-01-27,9:30,924,936,98.72,13,1,3,1,0,0
TR144,R5,Pune,Hyderabad,2024-01-27,20:00,854,1152,74.2,16,1,59,1,1,0
TR668,R6,Ahmedabad,Mumbai,2024-01-27,11:30,1046,1080,96.89,15,3,43,1,0,1
TR694,R7,Lucknow,Delhi,2024-01-27,19:30,1018,792,128.64,11,2,26,1,0,1
TR815,R8,Bangalore,Chennai,2024-01-27,8:30,1206,1152,104.77,16,3,18,1,0,0
TR980,R9,Patna,Kolkata,2024-01-27,10:30,693,1008,68.75,14,5,2,1,0,0
TR739,R10,Nagpur,Mumbai,2024-01-27,20:30,612,936,65.42,13,2,49,1,0,0
TR343,R1,Hyderabad,Bangalore,2024-01-28,12:00,737,936,78.75,13,3,57,1,0,0
TR744,R2,Mumbai,Delhi,2024-01-28,5:30,1739,1152,151.03,16,3,40,1,1,0
TR784,R3,Chennai,Kolkata,2024-01-28,21:30,576,1008,57.14,14,1,2,1,0,0
TR235,R4,Delhi,Jaipur,2024-01-28,18:30,887,1152,77.03,16,1,56,1,0,0
TR888,R5,Pune,Hyderabad,2024-01-28,18:00,1152,1224,94.12,17,3,24,1,0,0
